,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
232,SYNGENEEQN,812.85,824.2,807.45,815.3,810.8,4.5,0.56,842.9,535.1,378341,308718689.18,22-Aug-2023 15:56:57,38.87,4.28
233,LAURUSLABSEQN,389.0,392.6,386.7,390.85,388.75,2.1,0.54,593.45,278.85,1358589,529876881.78,22-Aug-2023 15:57:19,-33.19,11.47
234,MSUMIEQN,60.0,60.25,59.1,60.0,59.7,0.30000000000000004,0.5,71.15,45.15,6051227,360048006.5,22-Aug-2023 15:59:58,-23.46,3.11
235,INDIANBEQN,409.95,413.0,407.75,409.8,407.9,1.9,0.47000000000000003,414.9,173.0,1003166,411318123.32,22-Aug-2023 15:56:14,129.42,23.83
236,TATACHEMEQN,1007.0,1008.0,1000.0,1004.9,1001.05,3.85,0.38,1214.9,876.8,426545,428362081.7,22-Aug-2023 15:58:14,-10.95,1.3599999999999999
237,NHPCEQN,50.3,50.5,49.5,49.8,50.1,0.15,0.30000000000000004,52.7,33.5,10531488,524573417.28000003,22-Aug-2023 15:59:55,43.55,6.6
238,HINDZINCEQN,315.9,316.85,313.5,316.0,315.1,0.9,0.29,383.0,262.65,190788,60172627.32,22-Aug-2023 15:59:47,12.54,-0.96
239,CGPOWEREQN,426.0,427.9,419.25,424.15,423.1,1.05,0.25,435.0,212.1,929212,394329696.44,22-Aug-2023 15:59:20,79.81,3.69
240,OILEQN,292.5,293.3,290.0,291.5,291.0,0.5,0.17,293.3,167.85,511618,149346410.38000003,22-Aug-2023 15:58:32,53.72,12.77
241,IRFCEQN,48.1,48.2,47.6,47.8,47.75,0.05,0.1,52.7,20.8,40881273,1957804163.97,22-Aug-2023 15:59:46,124.71,36.62
242,TATAELXSIEQN,7016.8,7045.0,7016.8,7024.0,7016.8,7.2,0.1,10099.45,5709.05,48289,339472152.89,22-Aug-2023 15:59:47,-30.79,-4.02
243,JSWENERGYEQN,362.9,366.95,358.8,360.9,361.25,-0.35000000000000003,-0.1,369.9,204.65,2409130,875164655.0999999,22-Aug-2023 15:59:21,14.25,25.39
244,IPCALABEQN,891.7,896.75,883.35,884.9,887.0,-2.1,-0.24,951.3,669.8,263267,233583645.75,22-Aug-2023 15:53:04,-3.5700000000000003,11.62
245,TIINDIAEQN,2824.6,2848.5,2805.15,2810.1,2817.5,-7.4,-0.26,3398.7,2034.05,73282,206921253.66,22-Aug-2023 15:56:25,29.68,-12.48
246,RAMCOCEMEQN,865.0,871.2,850.0,854.3,856.65,-2.35,-0.27,953.0,634.05,386486,331187583.12,22-Aug-2023 15:58:18,12.94,-3.46
247,YESBANKEQN,17.0,17.05,16.85,16.9,16.95,-0.05,-0.29,24.75,14.4,76696780,1299243453.2,22-Aug-2023 15:59:58,2.42,-6.09
248,COROMANDELEQN,1070.0,1073.2,1065.0,1065.5,1071.25,-5.75,-0.54,1094.0,838.0,194268,207365548.56,22-Aug-2023 15:48:47,3.85,9.27
249,POLICYBZREQN,726.9,744.15,712.05,717.05,721.25,-4.2,-0.58,818.0,356.2,1348972,983009386.12,22-Aug-2023 15:59:02,30.06,-4.38
250,PATANJALIBEN,1303.95,1308.0,1293.0,1295.0,1303.95,-8.95,-0.6900000000000001,1495.0,853.5,90055,117064295.60000001,22-Aug-2023 15:59:14,16.35,-2
251,PELEQN,1072.0,1075.7,1052.5,1057.65,1067.05,-9.4,-0.88,2084.1,630.45,2013454,2136697519.3400002,22-Aug-2023 15:59:42,-45.16,7.24
252,LALPATHLABEQN,2266.0,2281.45,2245.9,2249.95,2271.05,-21.1,-0.93,2750.0,1762.05,86616,195556407.83999997,22-Aug-2023 15:54:35,-7.34,-0.6900000000000001
253,BANKINDIAEQN,89.8,91.0,88.5,88.6,89.5,-0.9,-1.01,103.5,45.85,9926681,885956279.25,22-Aug-2023 15:59:56,79.54,5.98
254,SUNTVEQN,546.85,548.85,539.1,541.0,553.55,-6.3,-1.15,568.5,393.8,755207,410069848.93,22-Aug-2023 15:59:48,13.91,5.09
255,APOLLOTYREEQN,398.75,401.5,392.05,393.85,398.8,-4.95,-1.24,440.9,236.45,1889753,749343757.0899999,22-Aug-2023 15:59:48,53.3,-4.72
256,DEEPAKNTREQN,2014.95,2014.95,1976.0,1980.65,2006.2,-25.55,-1.27,2356.6,1730.0,242286,482929300.92,22-Aug-2023 15:59:15,-1.72,1.3599999999999999
257,UNIONBANKEQN,92.45,93.15,89.65,89.85,91.8,-1.9500000000000002,-2.12,96.8,38.9,17433183,1594264585.3500001,22-Aug-2023 15:59:41,128.36,1.6
258,NIFTY SMLCAP 100,11798.7,11861.2,11797.55,11852.5,11756.8,95.70000000000073,0.81,11869.5,8682.0,580441809,60198006058.58,22-Aug-2023 16:00:00,24.31,1.97
259,NBCCEQN,47.65,51.4,47.6,51.15,47.45,3.7,7.8,51.4,29.8,57205466,2887731923.68,22-Aug-2023 15:59:58,42.07,14.61
260,AEGISCHEMEQN,351.9,372.0,350.05,370.0,349.95,20.05,5.73,410.5,246.6,1397718,501920533.8,22-Aug-2023 15:57:20,36.38,-1.6
261,IIFLEQN,581.0,612.85,581.0,610.0,577.75,32.25,5.58,625.0,323.55,1098440,655527023.1999999,22-Aug-2023 15:59:59,73.55,1.7000000000000002
262,NLCINDIAEQN,125.4,129.3,124.95,128.9,125.05,3.85,3.08,139.25,65.0,1641830,209546762.9,22-Aug-2023 15:54:57,74.65,6.2
263,HUDCOEQN,72.05,74.4,71.7,74.1,72.1,2.0,2.77,74.4,34.35,14552354,1070325636.6999999,22-Aug-2023 15:58:45,86.79,19.47
264,VIPINDEQN,689.05,714.5,689.05,703.0,688.3,14.7,2.14,765.0,548.95,1272203,897564660.56,22-Aug-2023 15:59:45,16.62,15.84
265,GMMPFAUDLREQN,1508.0,1546.0,1508.0,1534.0,1503.9,30.1,2.0,2110.0,1376.0,350267,537095915.13,22-Aug-2023 15:57:44,-5.33,2.9
266,CENTURYTEXEQN,979.85,997.0,979.85,995.9,977.4,18.5,1.8900000000000001,1108.0,588.0,119192,118057292.16,22-Aug-2023 15:57:52,15.54,2.33
267,FSLEQN,156.5,159.0,152.8,157.8,155.25,2.55,1.6400000000000001,159.0,96.25,5150864,807243406.08,22-Aug-2023 15:59:43,41.26,11.61
268,FACTEQN,446.7,466.0,446.6,451.0,444.3,6.7,1.51,510.75,104.0,793771,363205796.46999997,22-Aug-2023 15:58:33,265.38,-8.7
